ward_no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198
1,415,71,155,434,226,51,462,6,79,96,43,,,1,1,43,32,,,365,65,,24,21,8,,,,0,16,38,,2,55,226,31,,13,,,9,,,8,47,6,,,0,1,3,,,2,1,,,,,9,8,,29,66,,4,33,,,,,,6,,,,,15,2,0,2,,,,1,0,,,,0,8,,118,153,3,,,,10,2,1,,1,2,4,12,15,4,51,92,1,,,,,,,1,175,,,,3,4,8,2,6,1,4,10,4,4,17,,,,,,4,,,,1,,,,,,,6,,,0,,,,0,7,4,17,0,0,1,0,,2,,0,,,,,,4,,,,,0,0,0,4,,,,,,,0,1,1,,,,,,2,4
2,49,399,73,405,1,1,378,,41,44,13,7,,9,6,13,20,,,329,51,,,2,4,,,,,,,,4,41,192,10,,26,1,,,,,11,25,11,,,,0,4,,,,0,,,,,,,,17,61,,,16,,,,,,5,,,,,,1,0,2,,,,1,0,,,,0,,,100,127,0,,,,5,,,,,2,5,11,10,,53,99,4,,,,,,0,1,199,,,,,,11,2,9,1,5,12,5,2,2,,,,,,,,,,1,,0,,,,,8,,,0,,,,,8,3,24,,,,,,2,,0,,,,,,6,,,,,0,0,0,1,,,,,,,0,1,1,,,,,,1,4
3,204,140,532,682,62,17,110,,375,600,291,10,,17,10,116,102,,,79,11,2,,14,11,,8,,4,,,,5,13,240,187,,62,16,,60,,,52,196,22,,,1,5,7,,,,,5,,,,5,,,34,14,118,17,152,,,,17,1,31,,,,39,3,,,10,,,,11,1,,,,,,,25,105,1,,,,49,8,5,,5,15,29,64,77,16,8,142,4,,,,,,0,8,91,,,,13,16,53,14,40,8,45,63,25,23,70,,,,,,1,,,,3,4,14,,,,,18,,10,8,,,,2,43,21,108,2,2,5,2,,5,,1,,3,,2,,12,5,,3,,1,1,1,14,,,,,3,,4,3,8,17,7,1,,,8,24
4,291,395,347,1005,162,24,732,3,255,269,103,5,,21,7,67,44,,,666,61,3,,21,17,,10,,6,,,,16,81,375,70,,58,6,,41,,,24,95,39,,,2,12,13,,,,5,7,,,,8,,,48,127,2,14,99,,,,,,19,,,,0,5,8,2,15,,,,16,2,,,,2,,,176,262,8,,,,33,10,5,,5,8,13,33,43,11,86,125,13,,,,,,2,13,257,,,,9,11,24,5,18,3,10,23,10,16,47,,,,,,5,,,,5,8,27,,,,,28,,16,15,,,,2,21,7,47,2,2,5,2,,8,,2,,8,,4,,19,8,,8,,2,2,2,16,,,,,8,,6,5,13,37,16,4,,,10,9
5,858,10,178,920,1835,448,1249,28,95,67,82,,,,,67,10,,,772,243,,90,365,287,18,,,25,243,98,,,129,508,20,,20,,,72,,,,25,,,,25,,,,,134,,,,,,207,44,,228,124,10,,2,,,,,,,,,7,,155,,,,,,,,,,,,,2,,368,287,62,,,,5,,,,,,2,7,5,,93,461,20,,,,,,,,344,,,,,,5,2,,,,,,2,,,,,,,33,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,669,35,167,475,1523,5126,1559,264,88,669,26,79,,,26,493,581,449,,872,17,290,2008,2069,1832,8,986,,361,546,2536,,,88,695,105,,572,,,176,502,132,,79,,,,26,616,1109,52,17,281,273,519,,,,308,986,,1012,167,35,,8,,308,52,105,,1347,,,26,,1074,,,907,352,229,105,916,193,,,,,96,,660,449,,,,,17,,,52,,,8,26,17,,114,2360,343,,,61,61,70,,52,704,,,,,,17,8,,,783,581,237,8,,,,,88,88,44,,,,105,,158,,,,184,2017,,,105,,,,8,264,1338,202,52,158,158,79,325,546,52,290,105,237,264,26,211,1109,,369,361,,299,17,,17,35,,,,,,61,123,123,,,,,,,70
7,664,793,120,1573,474,174,1646,102,101,74,1,17,,7,9,25,14,6,,1771,202,8,8,116,200,3,34,,11,,14,,23,244,963,11,,55,,,1,17,1,1,24,57,,,,31,124,5,1,25,21,20,8,8,,,2,,73,331,18,3,26,,11,,,,34,,,23,3,2,11,18,93,3,7,,80,19,2,8,2,3,2,,495,689,20,,,,20,,,,,0,8,29,25,3,228,343,22,,,2,,,3,15,737,,,,3,3,17,7,4,0,32,26,5,15,15,,,,,,14,,,,7,7,27,,,,5,197,,15,15,,,,3,11,27,15,5,3,3,1,15,27,,7,,11,7,3,7,115,7,19,19,,15,5,3,9,3,,,,7,,11,15,23,35,15,3,,,7,7
8,25,,,20,28,77,269,228,181,233,5,15,,,5,132,31,41,5,220,,,,98,160,2,15,,5,,,,,59,274,25,,85,,,5,69,,,36,,,,,10,119,,,10,5,5,7,7,,,,,2,36,62,10,41,,49,,,,85,,,,2,,,12,80,,,,62,10,2,7,2,,,,54,101,5,,,,10,,,,,,,10,20,10,5,64,2,,,2,,,,,20,,,,10,10,,,,,147,93,,,41,,,,,,5,,,,,,,,,,,163,,,,,,,,7,62,116,54,,,,38,7,,,,,,,,95,,44,31,,23,15,7,15,31,,,,,,,,,,,,,,,54
9,104,78,372,498,32,8,91,62,702,963,97,32,,21,17,93,83,,,80,,,,13,22,,,,,,,,,8,263,161,,93,30,,72,,,65,195,7,,,,,17,,,,,,5,5,,,,,14,17,69,37,262,,,,46,27,38,,,,7,,,8,13,,,,8,,1,5,1,,,,19,76,7,,,,82,16,12,,4,18,34,98,128,35,16,18,1,,,1,,,,4,37,,,,29,35,65,16,53,10,42,74,30,40,146,,,,,,1,,,,7,,4,,,,,4,,,,7,,,6,57,24,133,6,6,12,6,3,10,,,,,,,,,,,,,,7,14,24,,,,,,,,,,,,,,,12,26
10,34,23,165,145,6,18,18,22,268,474,146,98,,8,12,87,38,9,,5,,2,,16,19,,11,,3,,,,,9,237,151,,42,18,,26,9,2,25,118,16,,,,6,14,,,2,2,4,0,0,,,,,34,0,139,13,94,,4,0,18,10,34,,,,43,,,1,11,5,2,0,9,1,0,0,0,,,,3,93,4,1,,,30,6,4,0,3,7,10,31,44,13,5,79,0,,,0,,,,1,52,,0,0,11,12,20,4,16,3,22,30,12,12,50,,,,,,2,,,,3,,1,,,,1,12,,,,3,,,1,22,24,52,3,3,5,2,6,11,,0,,0,1,0,0,6,,2,1,,2,4,8,8,0,,,,,,0,0,0,,,,,,3,10
