WARD_NO,origin_ward,route_num,route_counts
1.0,1.0,281K,12
1.0,1.0,289A,12
1.0,1.0,289AB,2
1.0,1.0,289D,12
1.0,1.0,289F,12
1.0,1.0,289H,12
1.0,1.0,289L,2
1.0,1.0,289R,2
1.0,1.0,291K,72
1.0,1.0,291P,6
1.0,1.0,297K,12
1.0,1.0,401AC,2
1.0,1.0,401J,12
1.0,1.0,401JA,12
1.0,1.0,401JC,12
1.0,1.0,401Y,12
1.0,1.0,407B,2
1.0,1.0,407C,20
1.0,1.0,409A,12
1.0,2.0,401BR,1
1.0,2.0,401J,4
1.0,2.0,401JA,8
1.0,2.0,401JC,8
1.0,2.0,401T,2
1.0,2.0,401Y,8
1.0,2.0,404C,2
1.0,2.0,407C,10
1.0,2.0,500DA,2
1.0,3.0,401,2
1.0,3.0,401A,2
1.0,3.0,401AC,6
1.0,3.0,401AE,2
1.0,3.0,401BR,4
1.0,3.0,401J,16
1.0,3.0,401JA,24
1.0,3.0,401JC,24
1.0,3.0,401T,4
1.0,3.0,401Y,24
1.0,3.0,404C,2
1.0,3.0,407,5
1.0,3.0,407B,10
1.0,3.0,407C,50
1.0,3.0,500DA,2
1.0,4.0,401,6
1.0,4.0,401A,6
1.0,4.0,401AC,12
1.0,4.0,401AE,6
1.0,4.0,401BR,5
1.0,4.0,401J,16
1.0,4.0,401JA,16
1.0,4.0,401JC,16
1.0,4.0,401T,4
1.0,4.0,401Y,16
1.0,4.0,404C,6
1.0,4.0,407,7
1.0,4.0,407B,14
1.0,4.0,407C,25
1.0,4.0,500DA,6
1.0,5.0,289A,4
1.0,5.0,289AB,2
1.0,5.0,289F,4
1.0,5.0,289H,4
1.0,5.0,289L,12
1.0,5.0,289R,6
1.0,5.0,291P,3
1.0,5.0,401AC,6
1.0,5.0,401AE,4
1.0,5.0,401JA,4
1.0,5.0,401JC,4
1.0,5.0,407B,8
1.0,5.0,409A,16
1.0,6.0,291K,27
1.0,6.0,291P,24
1.0,6.0,500DA,2
1.0,7.0,291K,27
1.0,7.0,404C,4
1.0,7.0,500DA,6
1.0,9.0,401,2
1.0,9.0,401A,2
1.0,9.0,401AC,14
1.0,9.0,401AE,2
1.0,9.0,401BR,3
1.0,9.0,401T,6
1.0,9.0,407,2
1.0,9.0,407B,4
1.0,10.0,401,5
1.0,10.0,401AC,16
1.0,10.0,401BR,6
1.0,10.0,401J,4
1.0,10.0,401JA,4
1.0,10.0,401JC,4
1.0,10.0,401T,6
1.0,11.0,401,4
1.0,11.0,401A,3
1.0,11.0,401AE,5
1.0,11.0,401J,12
1.0,11.0,401JA,8
1.0,11.0,401JC,8
1.0,11.0,401T,1
1.0,11.0,401Y,8
1.0,11.0,407,2
1.0,11.0,407B,4
1.0,14.0,401T,2
1.0,15.0,401T,2
1.0,16.0,401A,6
